,Headlines,Andrew,Bryan,Charlie,David,Elfie,Freddy,George,Henry,Islam,Jack,Kevin
9824,"My daughter’s life is priceless, but the NHS must not overpay for drugs",0,0,0,0,0,0,0,0,0,0,0
9825,Ladbrokes staff told to sign gamblers to online accounts to avoid redundancy,0,0,0,0,0,0,0,0,0,0,0
9826,Scottish shopping centre sold for close to average house price,0,0,0,0,0,0,0,0,0,0,0
9827,UK services sector flatlines as Brexit fears slow economy,0,0,0,0,0,0,0,0,0,0,0
9828,Apple to pay 10 years of back taxes to France,0,0,0,0,0,0,0,0,0,0,0
9829,HMV reveals which 27 stores have closed after sale to Canadian music boss,0,0,0,0,0,0,0,0,0,0,0
9830,Renting furniture from Ikea? I’m not buying that idea,0,0,0,0,0,0,0,0,0,0,0
9831,Box office analysis: UK  How to Train Your Dragon soars over Green Book at UK box office,0,0,0,0,0,0,0,0,0,0,0
9832,Business live  UK economy slumps into stagnation as Brexit uncertainty hits demand - business live,0,0,0,0,0,0,0,0,0,0,0
9833,"Project Syndicate economists  


  The next financial crisis may come soon – are we all that safe?",0,1,1,1,0,1,1,1,1,0,0
9834,Doug Putman: the vinyl fan aiming to put a new spin on HMV,0,0,0,0,0,0,0,0,0,0,0
9835,Hermes is now delivering on workers’ rights. Is the gig economy changing?,0,0,0,0,0,0,0,0,0,0,0
9836,Campaigners call for transport overhaul to tackle pollution,0,0,0,0,0,0,0,0,0,0,0
9837,UK home secretary approves extradition of Vijay Mallya to India,0,0,0,0,0,0,0,0,0,0,0
9838,NAB boss says his attitude 'polar opposite' to Hayne's description,0,0,0,0,0,0,0,0,0,0,0
9839,Alphabet shares sink despite making $8.9bn profit in last quarter,0,0,0,0,0,0,0,0,0,0,0
9840,"Nissan was offered secret state aid to cope with Brexit, minister concedes",0,0,0,0,0,0,0,0,0,0,0
9841,"The politics sketch  


  Nissan leaves Tories to explain why they can't even manage a bribe",0,0,0,0,0,0,0,0,0,0,0
9842,"Nils Pratley on finance  


  Promises, promises … Greg Clark's foolishness over Nissan exposed",0,1,1,1,0,1,1,1,1,0,0
9843,North-east England will pay the price for decades of dishonesty about Nissan,0,0,0,0,0,0,0,0,0,0,0
9844,Japan's EU deal 'threatens post-Brexit UK industry',0,0,0,0,0,0,0,0,0,0,0
9845,Lambeth cutting family centre funds,0,0,0,0,0,0,0,0,0,0,0
9846,Politics live with Andrew Sparrow  Brexit: Barnier says backstop is 'only operational solution' to Irish border issue – as it happened,0,0,0,0,0,0,0,0,0,0,0
9847,UK households lose feelgood factor amid rising debt – ONS,1,0,0,0,0,0,0,1,1,0,0
9848,Business live  Brexit angst drags UK construction growth down to 10-month low - as it happened,1,1,1,0,0,1,1,0,1,0,1
9849,Brexit frontline  Brexit: what are carmakers' contingency plans?,0,0,0,0,0,0,0,0,0,0,0
9850,"Government's fracking policy will cause energy crisis, says UK's richest man",0,1,0,1,0,1,0,0,1,1,0
9851,Michael O’Leary to step back from day-to-day running of Ryanair,0,0,0,0,0,0,0,0,0,0,0
9852,Kitchen for rent? Ikea to trial leasing of furniture,0,0,0,0,0,0,0,0,0,0,0
9853,UK construction growth close to stalling as Brexit fears build,1,1,1,0,0,1,1,0,1,0,1
9854,My son’s life depends on this cystic fibrosis drug. And ministers stand in the way,0,0,0,0,0,0,0,0,0,0,0
9855,Swansea tidal lagoon plan revived – without government funding,0,0,0,0,0,0,0,0,0,0,0
9856,"Billions of UK aid failing to reduce poverty, report finds",0,0,0,0,0,0,0,0,0,0,0
9857,Hermes to offer gig economy drivers better rights under union deal,0,0,0,0,0,0,0,0,0,0,0
9858,Canadian music store mogul Doug Putman joins battle for HMV,0,0,0,0,0,0,0,0,0,0,0
9859,Falling diesel sales more than Brexit behind Nissan's X-Trail decision,0,0,0,0,0,0,0,0,0,0,0
9860,"‘It isn't just Nissan, it’s all the jobs’: how the carmaker's U-turn hit Sunderland",0,0,0,0,0,0,0,0,0,0,0
9861,"The Guardian view on new drugs: high hopes, higher prices",0,0,0,0,0,0,0,0,0,0,0
9862,Nissan warns of Brexit concerns as U-turn at Sunderland confirmed,0,0,0,0,0,0,0,0,0,0,0
9863,Cystic fibrosis: the patients facing shorter lives due to drug's expense,0,0,0,0,0,0,0,0,0,0,0
9864,Fate of UK’s nuclear plants in doubt over ageing infrastructure,0,0,0,0,0,0,0,0,0,0,0
9865,"Economics viewpoint  


  Economic benefits of local buses eclipse unrealistic HS2 target",0,0,0,0,0,0,0,0,0,0,0
9866,Is Huawei a friend or foe in the battle for 5G dominance?,0,0,0,0,0,0,0,0,0,0,0
9867,"Business leader  


  The tech giants won’t like it, but a digital tax must become a reality",1,0,1,1,1,1,0,0,1,1,0
9868,"Observer business agenda  


  Disney superheroes join battle of the streaming services",0,0,0,0,0,0,0,0,0,0,0
9869,Will Venezuela oil sanctions be the silver bullet to fell Maduro regime?,0,1,0,1,0,1,0,0,1,1,0
9870,We must rule out a hard exit. Business is at breaking point,0,0,0,0,0,0,0,0,0,0,0
9871,Forget philanthropy. The super-rich should be paying proper taxes,0,0,0,0,0,0,0,0,0,0,0
9872,"What 2,000 job cuts tell us: the free market kills digital journalism",0,1,1,1,0,1,1,1,1,0,0
9873,La dolce vita slips away again as Italy tumbles back into recession,0,0,0,0,0,0,0,0,0,0,0
9874,Eurozone economies: as Italy struggles how are other countries faring?,0,0,0,0,0,0,0,0,0,0,0
9875,Why record job growth in America hides a troubling reality,0,0,0,0,0,0,0,0,0,0,0
9876,New-build homes: why some owners are left feeling the cold,0,0,0,0,0,0,0,0,0,0,0
9877,Energy bills: will these sites save you a flipping fortune?,0,1,0,1,0,1,0,0,1,1,0
9878,Oldies are pampered. We should offer a new deal to the young,0,0,0,0,0,0,0,0,0,0,0
9879,"North to south, the seeds of division in Brexit Britain were sown long ago",0,0,0,0,0,0,0,0,0,0,0
9880,Foxconn makes U-turn on $10bn Wisconsin factory after call with Trump,0,0,0,0,0,0,0,0,0,0,0
9881,'Flawed genius' Mike Ashley adds Sofa.com to his empire,0,0,0,0,0,0,0,0,0,0,0
9882,"These Tories won’t fix the rough sleeping crisis, no matter what they say",0,0,0,0,0,0,0,0,0,0,0
9883,Work isn’t working – but a four-day week would help fix it,0,0,0,0,0,0,0,0,0,0,0
9884,Business live  US jobs growth smashes expectations - as it happened,0,0,0,0,0,0,0,0,0,0,0
9885,US economy adds jobs for record 100th consecutive month,0,0,0,0,0,0,0,0,0,0,0
9886,'Everything’s leaving': Sheffield's high streets gutted by vacancies,0,0,0,0,0,0,0,0,0,0,0
9887,'This is about saving capitalism': the Dutch historian who savaged Davos elite,0,0,0,0,0,0,0,0,0,0,0
9888,Redundant Patisserie Valerie staff have not been paid,0,0,0,0,0,0,0,0,0,0,0
9889,UK manufacturers' stockpiling for no-deal Brexit hit record levels,0,0,0,0,0,0,0,0,0,0,0
9890,Off-licence chain Oddbins calls in administrators,0,0,0,0,0,0,0,0,0,0,0
9891,Bike blog  Scrapped HS2 bike path 'five times better value than HS2 itself',0,0,0,0,0,0,0,0,0,0,0
9892,"US voter suppression  


  Racist voter suppression is rampant – and corporate silence is complicity",0,0,0,0,0,0,0,0,0,0,0
9893,BP to explain how business chimes with Paris climate deal,0,0,0,0,0,0,0,0,0,0,0
9894,TSB computer meltdown bill rises to £330m,0,0,0,0,0,0,0,0,0,0,0
9895,'Decline in quality': auditors face scrutiny over string of scandals,0,0,0,0,0,0,0,0,0,0,0
9896,'Like a Big Mac But Juicier': Burger King renames sandwiches to troll McDonald's,0,0,0,0,0,0,0,0,0,0,0
9897,Trump hails China trade talks progress and says he will meet Xi Jinping soon,0,0,0,0,0,0,0,0,0,0,0
9898,"One in three UK firms plan for Brexit relocation, IoD says",0,0,0,0,0,0,0,0,0,0,0
9899,'Alexa was very busy': Amazon reports record profits and strong holiday season,0,0,0,0,0,0,0,0,0,0,0
9900,"Nils Pratley on finance  


  Metro Bank chief has talked himself into hole over loans blunder",0,1,1,1,0,1,1,1,1,0,0
9901,Npower to cut 900 jobs as it predicts marked financial losses for 2019,0,1,1,1,0,1,1,1,1,1,0
9902,Tax relief 'giveaways' to wealthy cost Britain at least £4bn a year,0,0,0,0,0,0,0,0,0,0,0
9903,"Labour councils, Tory cuts and a century of fighting austerity",0,0,0,0,0,0,0,0,0,0,0
9904,Regulator criticises Thames Water over lack of effort to cut bills,1,1,0,0,0,0,0,1,0,1,0
9905,Siemens UK warns of government industrial strategy divide,0,0,0,0,0,0,1,0,0,0,1
9906,"UK wages worth up to a third less than in 2008, study shows",0,0,0,0,0,0,0,0,0,0,0
9907,Whistleblower Christopher Wylie joins fashion retailer H&M,1,0,1,1,1,0,0,0,1,1,0
9908,Unilever stockpiles Magnum ice-cream in case of no-deal Brexit,0,0,0,0,0,0,0,0,0,0,0
9909,The World Bank and IMF are in crisis. It's time to push a radical new vision,0,1,1,1,0,1,1,1,1,0,0
9910,Gambling regulator warns firms over use of gagging orders,0,0,0,0,0,0,0,0,0,0,0
9911,Business live  Italy falls into recession as eurozone economy struggles - as it happened,0,0,0,0,0,0,0,0,0,0,0
9912,Italy slips into recession for third time in a decade,0,0,0,0,0,0,0,0,0,0,0
9913,Seven UK councils sue Barclays over high-cost loans,0,0,0,0,0,0,0,0,0,0,0
9914,"First thoughts  


  The UK isn’t ready to Brexit. Instead it’s heading towards a no-deal tsunami",0,0,0,0,0,0,0,0,0,0,0
9915,Asda shopworkers win landmark ruling in equal pay dispute,0,0,0,0,0,0,0,0,0,0,0
9916,Uber and Cabify to suspend operations in Barcelona,0,0,0,0,0,0,0,0,0,0,0
9917,Overcrowding in social housing in England soars to 24-year high,1,0,1,1,1,1,1,1,0,0,1
9918,ITV's Love Island lands record sponsorship deal with Uber Eats,0,0,0,0,0,0,0,0,0,0,0
9919,We shouldn't declare Trump's $1tn tax cut a failure just yet,0,0,0,0,0,0,0,0,0,0,0
9920,UK house price growth stagnates on back of Brexit concerns,0,0,0,0,0,0,0,0,0,0,0
9921,"UK fish and chip shops are selling endangered sharks, DNA tests prove",0,0,0,0,0,0,0,0,0,0,0
9922,Hospitality abuse: new website to encourage workers to speak out,0,0,0,0,0,0,0,0,0,0,0
9923,Six UK fashion retailers fail to cotton on to sustainability,1,0,1,1,1,0,0,0,1,1,0
9924,The long read  The Money Saving Expert: how Martin Lewis became the most trusted man in Britain,0,0,0,0,0,0,0,0,0,0,0
9925,Morrison defends $36m for two ads before election as 'entirely appropriate',0,0,0,0,0,0,0,0,0,0,0
9926,Markets surge on positive earnings from tech firms and Fed move to hold rates,1,1,1,1,1,1,1,1,1,1,0
9927,"Veganuary ends on record high with 250,000 participants",0,0,0,0,0,0,0,0,0,0,0
9928,"UK broadcasters face advertising tipping point, new study finds",0,0,0,0,0,0,0,0,0,0,0
9929,British car production slumps to five-year low,0,0,0,0,0,0,0,0,0,0,0
9930,Facebook posts record profit despite year of scandal,0,0,0,0,0,0,0,0,0,0,0
9931,Business live  Stocks surge as Fed leaves US interest rates on hold and promises 'patience' - as it happened,0,0,0,0,0,0,0,0,0,0,0
9932,Staffline begins inquiry over concerns about invoicing and payroll,0,0,0,0,0,0,0,0,0,0,0
9933,"Nils Pratley on finance  


  So just when, exactly, will the City press the no-deal panic button?",0,1,1,1,0,1,1,1,1,0,0
9934,Barclays to move £170bn to Dublin over no-deal Brexit fears,0,0,0,0,0,0,0,0,0,0,0
9935,Taxpayers face £4bn annual pension bill after court ruling,0,0,0,0,0,0,0,0,0,0,0
9936,Carlos Ghosn says fellow executives plotted to oust him,0,0,0,0,0,0,0,0,0,0,0
9937,"Grogonomics  


  Inflation growth remains lower than Reserve Bank wants. How will it act?",0,1,1,1,0,1,1,1,1,0,0
9938,"Deloitte fined £400,000 over company linked to scandal-hit 1MDB",0,0,0,0,0,0,0,0,0,0,0
9939,Foxconn backtracks over promised factory jobs at $10bn Wisconsin site,0,0,0,0,0,0,0,0,0,0,0
9940,Ex-Patisserie Valerie auditor says 'not his role to uncover fraud',0,0,0,0,0,0,0,0,0,0,0
9941,"Sorry, Howard Schultz – America doesn't want another billionaire president",0,0,0,0,0,0,0,0,0,0,0
9942,IoD chief steps down just two months before Brexit day,0,0,0,0,0,0,0,0,0,0,0
9943,Vodafone tops most-complained about broadband provider list,0,0,0,0,0,0,0,0,0,0,0
9944,UK shoppers rein in credit card use amid fears over economy,0,0,0,0,0,0,0,0,0,0,0
9945,High street crisis deepens: 1 in 12 shops closed in five years,0,0,0,0,0,0,0,0,0,0,0
9946,'How do they expect to run without us?' Tesla accused of axing key staff to cut costs,0,0,0,0,0,0,0,0,0,0,0
9947,"When courts are closed in numbers like this, people are denied justice",0,0,0,0,0,0,0,0,0,0,0
9948,Pound falls after Commons vote spurs no-deal Brexit fears,0,0,0,0,0,0,0,0,0,0,0
9949,Historian berates billionaires at Davos over tax avoidance,0,0,0,0,0,0,0,0,0,0,0
9950,'This is not rocket science': Rutger Bregman tells Davos to talk about tax – video,0,0,0,0,0,0,0,0,0,0,0
9951,UK house prices grow fastest in north of England and Midlands,0,0,0,0,0,0,0,0,0,0,0
9952,Apple reports first decline in revenues and profits in over a decade,0,0,0,0,0,0,0,0,0,0,0
9953,PG&E: California utility firm files for bankruptcy after deadly 2018 wildfires,0,1,1,1,0,1,1,1,1,0,0
9954,Libya's oil chief calls for national force to guard petroleum installations,0,1,0,1,0,1,0,0,1,1,0
9955,Mike Ashley sets sights on struggling furniture retailer Sofa.com,1,0,1,1,1,0,0,0,1,1,0
9956,"Nils Pratley on finance  


  Is Royal Mail failing to deliver, or is the answer just lost in the post?",0,1,1,1,0,1,1,1,1,0,0
9957,The Guardian view on the US case against Huawei: the conflict sharpens,0,0,0,0,0,0,0,0,0,0,0
9958,Patisserie Valerie accounts 'unreliable back to 2014',0,0,0,0,0,0,0,0,0,0,0
9959,Teen activist’s strong words for world leaders at Davos,0,0,0,0,0,0,0,0,0,0,0
9960,Business live  UK personal insolvencies hit seven-year high; US consumer confidence slumps - business live,1,0,1,1,1,0,0,0,1,1,0
9961,UK personal insolvencies hit seven-year high,0,0,0,0,0,0,0,0,0,0,0
9962,Business chiefs call for dramatic overhaul of rates to help high street,0,0,0,0,0,0,0,0,0,0,0
9963,Kendall Jenner and Bella Hadid facing possible subpoenas over Fyre Festival,0,0,0,0,0,0,0,0,0,0,0
9964,"Here in Liverpool, we know what northern austerity looks like up close",0,0,0,0,0,0,0,0,0,0,0
9965,Discovery of biggest UK gasfield in a decade raises industry hopes,1,1,0,1,0,1,0,1,1,1,0
9966,Royal Mail shares plunge to record low as it delivers fewer letters,0,0,0,0,0,0,0,0,0,0,0
9967,Norwegian launches £270m rights issue after rebuffing IAG,0,0,0,0,0,0,0,0,0,0,0
9968,"Why I won't miss Tesco's fake 'posh' deli, fish and meat counters",0,0,0,0,0,0,0,0,0,0,0
9969,"Animals farmed  Investors urge KFC, McDonald's and Burger King to cut emissions",0,0,0,0,0,0,0,0,0,0,0
9970,UK rail passenger satisfaction falls to lowest level since 2007,0,0,0,0,0,0,0,0,0,0,0
9971,California hotel workers ‘on the brink’ of joining wave of strikes,0,0,0,0,0,0,0,0,0,0,0
9972,Bill Gates says poverty is decreasing. He couldn’t be more wrong,0,0,0,0,0,0,0,0,0,0,0
9973,"Domino's sells more than 500,000 pizzas in record UK trading day",0,0,0,0,0,0,0,0,0,0,0
9974,Huawei: China calls US charges 'immoral' as markets slide,0,1,1,1,0,1,1,1,1,0,0
9975,Brexit weekly briefing  Brexit weekly briefing: MPs prepare to make do or amend,0,0,0,0,0,0,0,0,0,0,0
9976,The Brexit threat hanging over startups in the UK tech sector,1,0,1,1,1,1,0,0,1,1,0
9977,Scott Morrison offers small business tax relief as he touts economic credentials,0,0,0,0,0,0,0,0,0,0,0
9978,Insects worm their way into Selfridges food hall in ‘bug bars’,1,0,0,0,0,0,0,1,1,0,0
9979,Off-licence firm Oddbins warns of job losses,0,0,0,0,0,0,0,0,0,0,0
9980,"The politics sketch  


  MPs pooh-pooh Tigger Hancock’s plans for the NHS after Brexit",0,0,0,0,0,0,0,0,0,0,0
9981,"Nils Pratley on finance  


  Tesco's CEO should note that simpler may not mean better",0,1,1,1,0,1,1,1,1,0,0
9982,Philip Green ends ‘gagging order’ action against Telegraph,0,0,0,0,0,0,0,0,0,0,0
9983,"Tesco confirms 9,000 jobs at risk as it axes fresh food counters",1,0,0,0,0,0,0,1,1,0,0
9984,The Guardian view on teacher shortages: the trouble with data,0,0,0,0,0,0,0,0,0,0,0
9985,"Brief letters  Con or cop, they’re all in the same boat",0,0,0,0,0,0,0,0,0,0,0
9986,Mortgages without Mum and Dad’s help,0,0,0,0,0,0,0,0,0,0,0
9987,Government shutdown cost US economy $11bn,0,0,0,0,0,0,0,0,0,0,0
9988,Pension scams: some victims have lost more than £1m to fraudsters,0,0,0,0,0,0,0,0,0,0,0
9989,Shortcuts  The 100% mortgage is back – is it worth the risk?,0,0,0,0,0,0,0,0,0,0,0
9990,Business live  European shares drift lower ahead of key US-China trade talks – as it happened,0,0,0,0,0,0,0,0,0,0,0
9991,"No-deal Brexit would mean shortages and price rises, say retailers",1,0,1,1,1,0,0,0,1,1,0
9992,Labour report urges investment to revive struggling regions,0,1,1,1,0,1,1,1,1,0,0
9993,Nissan investigated by SEC after Carlos Ghosn charges in Japan,0,0,0,0,0,0,0,0,0,0,0
9994,"Looking on the bright side of climate change, think of all the money corporations can make",0,0,0,0,0,0,0,0,0,0,0
9995,"Jack Lear review – Shakespeare, shanties and a raging Barrie Rutter",0,0,0,0,0,0,0,0,0,0,0
9996,UK corporation tax cut to cost billions more than thought,0,0,0,0,0,0,0,0,0,0,0
9997,Virginia students learn in trailers while state offers Amazon huge tax breaks,0,0,0,0,0,0,0,0,0,0,0
9998,Morrisons to trial paper bags for groceries and higher price for plastic bags,0,0,0,0,0,0,0,0,0,0,0
9999,Lloyds unveils 100% mortgage for first-time buyers,0,0,0,0,0,0,0,0,0,0,0
10000,"Deprived northern regions worst hit by UK austerity, study finds",0,0,0,0,0,0,0,0,0,0,0
10001,'Desperation and despair': Barnsley's long battle with austerity,0,0,0,0,0,0,0,0,0,0,0
10002,"No-deal Brexit: UK firms 'praying' for article 50 extension, says KPMG",0,0,0,0,0,0,0,0,0,0,0
10003,"Take on food industry to beat malnutrition and obesity, says report",1,0,0,0,0,0,0,1,1,0,0
10004,"Finally, a Tory MP is shocked by austerity",0,0,0,0,0,0,0,0,0,0,0
10005,"UK cannot simply trade on WTO terms after no-deal Brexit, say experts",0,0,0,0,0,0,0,0,0,0,0
10006,Ocado's secret talks with M&S could spell the end for Waitrose tie-up,0,0,0,0,0,0,0,0,0,0,0
10007,Huawei's problems deepen as western suspicions mount,0,0,0,0,0,0,0,0,0,0,0
10008,Thousands of Tesco jobs at risk as bosses look to axe fresh food counters,1,0,0,0,0,0,0,1,1,0,0
10009,"Economics viewpoint  


  Davos 2019: the yawning gap between rhetoric and reality",0,0,0,0,0,0,0,0,0,0,0
10010,Need to track down a dog poo-petrator? There’s a DNA test for that,0,0,0,0,0,0,0,0,0,0,0
10011,More means less when it comes to a great cafe,0,0,0,0,0,0,0,0,0,0,0
10012,"Observer business agenda  


  Apple became the greatest. But is its crown slipping?",0,0,0,0,0,0,0,0,0,0,0
10013,"Business leader  


  Brexit warnings by Airbus and Siemens cannot be ignored",0,0,0,0,0,0,0,0,0,0,0
10014,"The networker  


  WhatsApp is now fighting the scourge of viral disinformation. About time",0,0,0,0,0,0,0,0,0,0,0
10015,"William Keegan's in my view  


  For the poor, it’s not Europe that’s the problem. It’s austerity",0,0,0,0,0,0,0,0,0,0,0
10016,"Future of digital journalism in question as BuzzFeed and HuffPost lay off 1,000",0,0,0,0,0,0,0,0,0,0,0
10017,What’s a chap to do if he can’t be beastly to the Germans?,0,0,0,0,0,0,0,0,0,0,0
10018,"Stephen Rubin, owner of JD Sports, paid most tax in UK last year with £181m bill",0,0,0,0,0,0,0,0,0,0,0
10019,UK firms plan mass exodus if May allows no-deal Brexit,0,0,0,0,0,0,0,0,0,0,0
10020,Small energy suppliers get a growth boost as their rivals collapse,0,1,0,1,0,1,0,0,1,1,0
10021,The supermarket in Wales owned by a small council … in Surrey,0,1,1,1,0,1,1,1,1,0,0
10022,Germany agrees to end reliance on coal stations by 2038,0,0,0,0,0,0,0,0,0,0,0
10023,Hebden Bridge: how a thriving town lost its last bank,0,1,1,1,0,1,1,1,1,0,0
10024,Letting fees ban is good news for tenants – but beware a backlash,0,0,0,0,0,0,0,0,0,0,0
10025,"The best investment of the past 35 years? Sadly, it was cigarettes",0,1,1,1,0,1,1,1,1,0,0
10026,Davos 2019: 10 things we learned at the World Economic Forum,0,0,0,0,0,0,0,0,0,0,0
10027,Orkney rated Britain's best place to live in terms of quality of life,0,0,0,0,0,0,0,0,0,0,0
10028,Drug firm Novartis fears no-deal Brexit could put patients at risk,0,0,0,0,0,0,0,0,0,0,0
10029,Cabinet Office compares no-deal Brexit to Iceland ash cloud chaos,0,0,0,0,0,0,0,0,0,0,0
10030,Who is the Brexit-supporting Lord Bamford of JCB fame?,0,0,0,0,0,0,0,0,0,0,0
10031,London Pride maker Fuller's sells beer business to Asahi for £250m,0,0,0,0,0,0,0,0,0,0,0
10032,Brexit may lead to a slow-motion crash for Britain’s aerospace industry,0,0,0,0,0,0,0,0,0,0,0
10033,Stemming the loss of small businesses,0,0,0,0,0,0,0,0,0,0,0
10034,'I want you to panic': 16-year-old issues climate warning at Davos – video,0,0,0,0,0,0,0,0,0,0,0
10035,Cod stocks on course to crash if ocean warming continues,0,0,0,0,0,0,0,0,0,0,0
10036,Living with a food allergy is difficult enough without restaurants making it worse,1,0,0,0,0,0,0,1,1,0,0
10037,"Facebook let children run up huge bills, court papers show",0,0,0,0,0,0,0,0,0,0,0
10038,"Brexit stockpiling by UK retailers and wholesalers reaching 2008 levels, says CBI",1,0,1,1,1,0,0,0,1,1,0
10039,Vodafone 'pauses' use of Huawei equipment over security concerns,0,0,0,0,0,0,0,0,0,0,0
10040,"First thoughts  


  Britain is doing socialism for the rich again – this time for oil and gas",1,1,0,1,0,1,0,1,1,1,0
10041,Venezuela's political tug-of-war sparks fears for oil markets,0,1,1,1,0,1,1,1,1,1,0
10042,Pret a Manger allergy victim's parents call for tough food label laws,1,0,0,0,0,0,0,1,1,0,0
10043,"No-deal Brexit will disrupt UK economy, says Philip Hammond",0,0,0,0,0,0,0,0,0,0,0
10044,"Carlos Ghosn exit must not affect Nissan-Renault alliance, says Japan",0,0,0,0,0,0,0,0,0,0,0
10045,Police investigate human bone found in Primark socks,0,0,0,0,0,0,0,0,0,0,0
10046,"Guardian Brexit watch  


  Prospect of no-deal Brexit 'very damaging': experts mine the data",0,0,0,0,0,0,0,0,0,0,0
10047,Guardian Brexit watch  How has Brexit vote affected the UK economy? January verdict,0,0,0,0,0,0,0,0,0,0,0
10048,Guardian Brexit watch  Global slowdown threatens to worsen impact of no-deal Brexit,0,0,0,0,0,0,0,0,0,0,0
10049,"Global recession? Brexit? Don't fret, get a cheap 10-year mortgage",0,0,0,0,0,0,0,0,0,0,0
10050,The long read  The business of kidnapping: inside the secret world of hostage negotiation,0,0,0,0,0,0,0,0,0,0,0
10051,British taxpayers face £24bn bill for tax relief to oil and gas firms,1,1,0,1,0,1,0,1,1,1,0
10052,George Soros: China is using tech advances to repress its people,1,0,1,1,1,1,0,0,1,1,0
10053,"Business live  George Soros blasts China over AI, totalitarianism and 5G at Davos - as it happened",0,0,0,0,0,0,0,0,0,0,0
10054,Guardian Opinion cartoon  Steve Bell on the Airbus boss's opinion about May's Brexit planning – cartoon,0,0,0,0,0,0,0,0,0,0,0
10055,UN executions expert to visit Turkey to lead Khashoggi inquiry,0,0,0,0,0,0,0,0,0,0,0
10056,Philip Hammond urges business leaders to accept Brexit result,0,0,0,0,0,0,0,0,0,0,0
10057,New Look may have to put itself up for sale as part of rescue refinance,0,1,1,1,0,1,1,1,1,0,0
10058,Politics live with Andrew Sparrow  Brexit: Rudd defies No 10 by calling for Tory MPs to get free vote on move to rule out no deal – as it happened,0,0,0,0,0,0,0,0,0,0,0
10059,Be still my eating heart: Sweethearts won't be on sale this Valentine's Day,0,0,0,0,0,0,0,0,0,0,0
10060,Davos: head of IMF warns against rising fat-cat pay,0,0,0,0,0,0,0,0,0,0,0
10061,Ford says no-deal Brexit would mean costs of $800m in 2019 alone,0,0,0,0,0,0,0,0,0,0,0
10062,"Nils Pratley on finance  


  Take the Airbus chief's no-deal Brexit warning seriously",0,1,1,1,0,1,1,1,1,0,0
10063,Rise in UK household bills pushes spending up to 13-year high,1,0,0,0,0,0,0,1,1,0,0
10064,Minister backs Airbus Brexit remarks and dares May to sack him,0,0,0,0,0,0,0,0,0,0,0
10065,BBC considers setting up international base in Belgium after Brexit,0,0,0,0,0,0,0,0,0,0,0
10066,Renault names new chairman and CEO after Carlos Ghosn quits,0,0,0,0,0,0,0,0,0,0,0
10067,Teenage activist takes School Strikes 4 Climate Action to Davos,0,0,0,0,0,0,0,0,0,0,0
10068,"JCB paid Boris Johnson £10,000 three days before speech",0,0,0,0,0,0,0,0,0,0,0
10069,'It was like a public execution': American retail workers face mass layoffs,1,0,1,1,1,0,0,0,1,1,0
10070,A quarter of the UK cabinet went to Davos: what are they doing there?,0,0,0,0,0,0,0,0,0,0,0
10071,Coalition of major companies trial reusable packaging for online orders,0,0,0,0,0,0,0,0,0,0,0
10072,Airbus brands UK government handling of Brexit 'a disgrace',0,0,0,0,0,0,0,0,0,0,0
10073,Heathrow trials digital control tower for third runway,0,0,0,0,0,0,0,0,0,0,0
10074,BuzzFeed to lay off 200 staff in latest round of cuts,0,0,0,0,0,0,0,0,0,0,0
10075,Brexit frontline  'No deal would be horrific': Welsh farmers brace themselves for Brexit,0,0,0,0,0,0,0,0,0,0,0
10076,Tobacco: a deadly business  How diplomatic missions became entangled with the tobacco industry,0,0,0,0,0,0,0,0,0,0,0
10077,Flying 'cars': Boeing lifts off in race to revolutionise travel,0,0,0,0,0,0,0,0,0,0,0
10078,Spirit of the ‘ginaissance’: revival of gin fuels distillery boom,0,0,0,0,0,0,0,0,0,0,0
10079,No-deal Brexit 'poses threat to global stability' – CBI head,0,0,0,0,0,0,0,0,0,0,0
10080,Patisserie Valerie chair cashed out £40m from failed cafe chain,0,0,0,0,0,0,0,0,0,0,0
10081,"David Davis trousering £96,000 for part-time roles since cabinet exit",0,0,0,0,0,0,0,0,0,0,0
10082,Prince William makes Davos appeal to break mental health stigma,0,0,0,0,0,0,0,1,0,1,1
10083,"Nils Pratley on finance  


  Tesco trio cleared by a court but damned by other means",0,1,1,1,0,1,1,1,1,0,0
10084,Business live  Davos 2019: Prince William says mental health stigma must end - live,0,0,0,0,0,0,0,1,0,1,1
10085,"UK retail sector shed 70,000 jobs in final months of 2018 – BRC",1,0,1,1,1,0,0,0,1,1,0
10086,The Guardian view on Davos: elites without answers,0,0,0,0,0,0,0,0,0,0,0
10087,Metro Bank shares crash after loans blunder revealed,0,1,1,1,0,1,1,1,1,0,0
10088,The real impact of proposed cuts to HS2 rail service,0,0,0,0,0,0,0,0,0,0,0
10089,Brief letters  Better way to be a bean-counter,0,0,0,0,0,0,0,0,0,0,0
10090,Florida: Republican 'green governor' seeks to reverse predecessor's legacy,0,0,0,0,0,0,0,0,0,0,0
10091,Let us condemn the heresy of workspaces in churches,0,0,0,0,0,0,0,0,0,0,0
10092,CBS refuses to run Super Bowl ad for medical marijuana,0,0,0,0,0,0,0,1,0,1,1
10093,Bohemian Rhapsody director Bryan Singer says sexual misconduct claims are 'homophobic smear',0,0,0,0,0,0,0,0,0,0,0
10094,What should Davos fear most? Consumers’ deep distrust of business,1,0,1,1,1,0,0,0,1,1,0
